Moshina modeli,Rangi,Yil,Probeg,Narxi
hyundai,boshqa,2009,125000,13700.0
hyundai,kulrang,2022,25000,29500.0
kia,oq,2022,9900,24000.0
byd,qora,2023,10000,24700.0
chevrolet,oq,2023,0,23400.0
mercedec,qora,2015,78000,110000.0
mercedes,qora,2008,180000,28500.0
changan,boshqa,2023,41000,
toyota,qora,2023,300,47000.0
volkswagen,boshqa,2021,23000,28000.0
mercedes,oq,2011,300000,25000.0
bestune,qora,2022,28600,35000.0
toyota,oq,2016,55000,28000.0
toyota,qora,2019,25500,58000.0
kia,kulrang,2019,42000,27800.0
kia,oq,2023,12000,43000.0
niva,stalnoy,2007,200000,
jetour,qora,2023,5000,27000.0
chery,qora,2023,20000,23500.0
niva,stalnoy,2007,200000,
jetour,qora,2023,0,33000.0
range,qora,2006,164000,15500.0
byd,qora,2024,0,33500.0
jac,qora,2024,0,34500.0
gac,qora,2023,480,22500.0
jetour,qora,2023,26000,30000.0
kia,oq,2021,170000,33000.0
mercedes,boshqa,2013,370000,29000.0
hyundai,qora,2022,22000,24500.0
renault,boshqa,2022,20000,21500.0
byd,qora,2024,2200,33500.0
kia,stalnoy,2019,42000,27200.0
hyundai,qora,2008,495000,7000.0
mercedes,qora,2019,33500,60000.0
leapmotor,qora,2023,0,31500.0
byd,qora,2023,280,32000.0
byd,qora,2023,2600,30000.0
byd,oq,2023,0,18700.0
mercedes,boshqa,2001,450000,11000.0
busteno,jemchug,2023,7000,22500.0
byd,qora,2023,288,31500.0
forza,oq,2014,219565,7000.0
lixiang,qora,2023,0,57000.0
byd,boshqa,2022,20000,39900.0
kia,qora,2023,11000,35500.0
mercedes,qora,2019,33500,55000.0
hyundai,jemchug,2022,30000,29000.0
kia,oq,2016,197000,26000.0
hyundai,qora,2022,22000,24500.0
hyundai,oq,2023,0,21900.0
jetour,qora,2023,12000,24500.0
byd,oq,2024,0,18699.0
kia,oq,2023,30500,37000.0
hyundai,qora,2021,47300,28500.0
jetour,qora,2023,800,27500.0
hyundai,oq,2023,0,21900.0
hyundai,boshqa,2022,4060,31250.0
bmw,boshqa,2022,7800,115000.0
hyundai,kulrang,2022,22000,24000.0
kia,qora,2023,7500,32500.0
byd,qora,2023,2300,30500.0
byd,oq,2023,0,18200.0
menlo,oq,2023,0,22000.0
mercedes,boshqa,2001,450000,10500.0
hyundai,qora,2022,22000,24000.0
forthing,qora,2023,22000,25000.0
kia,qora,2023,15200,35300.0
byd,qora,2024,0,34800.0
haval,qora,2024,250,25500.0
kia,boshqa,2022,42100,21500.0
byd,qora,2023,20000,27000.0
byd,qora,2024,0,38500.0
toyota,qora,2019,23500,90000.0
byd,qora,2023,900,26500.0
hyundai,boshqa,2022,44000,25500.0
kia,boshqa,2008,205700,15000.0
mercedes,oq,2002,250000,11500.0
hyundai,qora,2020,61500,27000.0
hyundai,qora,2007,302000,8200.0
byd,oq,2023,0,18900.0
toyota,qora,2019,23500,90000.0
kia,qora,2021,53000,25000.0
jetour,qora,2023,12000,23000.0
honda,oq,2023,1400,18000.0
byd,oq,2023,0,18800.0
hyundai,seriy,2022,15000,37916.67
toyota,oq,2022,0,23000.0
chery,oq,2022,18100,20000.0
byd,qora,2023,11000,29300.0
bestune,qora,2022,4400,22700.0
hyundai,qora,2009,288000,20000.0
hyundai,qora,2020,61500,25000.0
byd,qora,2024,0,37200.0
byd,qora,2023,20000,27000.0
byd,qora,2024,50,37800.0
prado,qora,2006,331798,23000.0
byd,qora,2023,10000,31000.0
hyundai,oq,2023,0,21300.0
byd,qora,2023,10000,29000.0
byd,qora,2023,20000,27000.0
hyundai,qora,2020,88000,32000.0
toyota,qora,2023,6734,81000.0
kia,boshqa,2024,1000,28000.0
chery,oq,2022,18100,19950.0
byd,seriy,2022,42000,24900.0
hyundai,oq,2022,98250,37950.0
byd,oq,2022,28000,18000.0
fav,qora,2022,23000,20000.0
hyundai,boshqa,2020,67600,15900.0
hyundai,mokriy,2022,24000,63000.0
hyundai,kulrang,2008,235000,7500.0
byd,qora,2023,2200,29500.0
byd,oq,2023,90,18000.0
kia,jemchug,2010,250000,12000.0
toyota,oq,2012,197000,7000.0
hyundai,boshqa,2021,45200,29500.0
kia,oq,2020,219000,27000.0
mercedec,oq,2011,500000,20000.0
zeekr,boshqa,2023,0,58000.0
avatr,oq,2023,2000,60000.0
kia,boshqa,2024,1000,27000.0
velite,oq,2024,0,18000.0
volkswagen,mokriy,2008,209000,13000.0
hyundai,oq,2020,80000,29000.0
kia,qora,2023,35889,45000.0
byd,qora,2023,10000,29000.0
byd,mokriy,2023,3991,17500.0
toyota,qora,2023,11000,67700.0
zeekr,qora,2024,6500,50000.0
bmw,oq,2019,47000,85000.0
hyundai,boshqa,2019,69000,42000.0
hyundai,oq,2020,96000,17500.0
byd,seriy,2022,42000,23500.0
kia,oq,2022,22220,37000.0
byd,oq,2023,4900,30000.0
byd,oq,2024,3000,27200.0
bmw,qora,2007,190000,18800.0
hyundai,oq,2022,22600,22500.0
toyota,qora,2008,215000,22500.0
cherry,oq,2022,26500,23500.0
hyundai,oq,2008,262000,8000.0
byd,stalnoy,2023,14000,28500.0
byd,qora,2023,12000,29000.0
byd,qora,2024,,34000.0
toyota,qora,2008,215000,21500.0
skoda,qora,2021,23400,28000.0
chery,oq,2023,12000,23000.0
hyundai,boshqa,2022,15000,39000.0
jac,qora,2023,2405,18500.0
bmw,oq,2020,23900,98000.0
byd,qora,2024,,34000.0
byd,qora,2023,12000,29000.0
audi,qora,2008,48000,24000.0
kia,mokriy,2017,180000,25000.0
honda,oq,2023,0,27500.0
kia,qora,2021,20000,23000.0
kia,qora,2021,51969,24500.0
bestune,qora,2023,0,27000.0
hyundai,boshqa,2022,17000,23500.0
hyundai,boshqa,2020,42000,20500.0
renault,boshqa,2022,45000,22000.0
hyundai,oq,2022,12000,33800.0
kia,qora,2023,15000,35833.33
kia,oq,2022,22500,23500.0
kia,oq,2024,0,40950.0
hyundai,boshqa,2022,17000,21000.0
skoda,qora,2021,23500,26500.0
byd,qora,2024,,34000.0
hyundai,oq,2022,19000,45200.0
byd,oq,2024,5700,17500.0
kia,oq,2023,4700,25800.0
kia,qora,2023,50,50000.0
toyota,qora,2023,8100,72000.0
hongqi,qora,2022,47300,32000.0
byd,qora,2023,12000,29000.0
byd,qora,2024,,33000.0
leapmotor,boshqa,2024,0,26000.0
buick,oq,2024,0,17000.0
byd,oq,2024,5400,16300.0
byd,qora,2023,26500,25000.0
hyundai,oq,2022,21000,32200.0
toyota,qora,2024,0,25.0
byd,qora,2024,,33000.0
li,qora,2023,4500,60500.0
byd,qora,2023,3500,24000.0
chery,qora,2023,23000,32000.0
kia,qora,2022,20300,41000.0
byd,oq,2024,1800,27500.0
jetaur,qora,2023,14000,32000.0
byd,oq,2023,11500,26500.0
mercedes,qora,2023,4500,120000.0
hyundai,qora,2021,23000,30000.0
byd,qora,2023,16000,29000.0
hyundai,boshqa,2022,7300,32600.0
hyundai,kulrang,2022,27000,23000.0
byd,oq,2023,6300,31200.0
kia,oq jemchuk,2023,23000,32000.0
changan,oq,2024,0,20000.0
byd,oq,2024,0,29000.0
menlo,oq,2023,9000,18500.0
leapmotor,qora,2023,7000,31000.0
volvo,qora,2024,,26500.0
hyundai,boshqa,2022,14000,35000.0
neta,oq,2023,2500,13900.0
bestune,qora,2023,2338,23000.0
jetour,qora,2023,18000,22000.0
kia,oq jemchuk,2024,0,26850.0
byd,oq,2023,13000,20000.0
jetour,qora,2023,30800,24200.0
leapmotor,qora,2023,15000,33000.0
jac,oq,2024,0,20000.0
byd,qora,2024,0,28600.0
byd,qora,2024,0,28000.0
toyota,boshqa,2023,6700,31000.0
cherry,oq,2022,30000,21500.0
hyundai,oq,2023,23000,38000.0
hyundai,boshqa,2022,41500,40000.0
captiva,qora,2016,9900,24900.0
byd,qora,2023,7800,23000.0
chery,oq,2023,8400,22500.0
kia,oq,2023,8000,31000.0
hyundai,oq,2022,128760,43500.0
mercedec,oq,2019,34000,90000.0
hyundai,boshqa,2021,68000,28000.0
kia,oq jemchuk,2024,0,26850.0
chery,oq,2023,120,25416.67
kia,boshqa,2021,26000,23800.0
hyundai,boshqa,2022,24500,34500.0
chery,oq,2023,120,24166.67
equinox,qora,2023,10000,32000.0
byd,qora,2024,0,29000.0
byd,seriy,2023,28000,14200.0
hyundai,boshqa,2021,57000,30000.0
leapmotor,oq,2024,0,26000.0
equinox,boshqa,2020,52000,25000.0
chery,oq,2023,120,23333.33
chery,oq,2023,120,22000.0
byd,qora,2024,0,28000.0
mercedes,qora,2022,93000,27000.0
chery,qora,2023,80,22000.0
kia,boshqa,2023,7500,25000.0
byd,qora,2024,0,27000.0
toyota,kulrang,2008,240000,10000.0
chery,qora,2023,80,22000.0
leapmotor,qora,2023,15000,28000.0
byd,oq,2023,9500,27000.0
byd,oq,2023,7300,27000.0
kia,qora,2023,30000,36000.0
chery,qora,2023,80,22000.0
renault,boshqa,2022,29000,24000.0
denza,qora,2023,600,59000.0
kia,qora,2022,64000,60000.0
aiqar,qora,2024,5000,28800.0
bmw,boshqa,1983,,2500.0
kia,boshqa,2023,1857,29000.0
byd,oq,2024,1500,22800.0
hyundai,kulrang,2022,30000,21500.0
forthing,qora,2022,20000,26000.0
byd,qora,2024,0,29000.0
kia,qora,2022,49000,31500.0
mercedes,qora,2007,150000,15500.0
kia,boshqa,2022,50000,28000.0
hyundai,mokriy,2022,19000,31900.0
hyundai,oq,2014,138000,14500.0
hyundai,kulrang,2022,30000,20900.0
hyundai,boshqa,2022,19350,36000.0
gacaion,oq,2024,0,20200.0
voyah,qora,2024,570,39000.0
byd,qora,2024,0,25800.0
toyota,oq jemchuk,2012,161000,30000.0
byd,boshqa,2023,6300,44000.0
volkswagen,qora,2020,58000,19000.0
hyundai,boshqa,2022,7600,30300.0
